,,,Lista de municipios por región ,,,,,,,,,
,,Clave,Municipio,Región,,,,,,,,
,,1,Ahualulco,Centro,,,,,,,,
,,2,Alaquines ,Media,,,,,,,,
,,3,Aquismón ,Huasteca,,,,,,,,
,,4,Armadillo de los Infante ,Centro,,,,,,,,
,,5,Cárdenas ,Media,,,,,,,,
,,6,Catorce ,Altiplano,,,,,,,,
,,7,Cedral ,Altiplano,,,,,,,,
,,8,Cerritos ,Media,,,,,,,,
,,9,Cerro de San Pedro ,Centro,,,,,,,,
,,10,Ciudad del Maíz,Media,,,,,,,,
,,11,Ciudad Fernández ,Media,,,,,,,,
,,12,Tancanhuitz,Huasteca,,,,,,,,
,,13,Ciudad valles  ,Huasteca,,,,,,,,
,,14,Coxcatlan ,Huasteca,,,,,,,,
,,15,Charcas,Altiplano,,,,,,,,
,,16,Ébano,Huasteca,,,,,,,,
,,17,Guadalcázar ,Altiplano,,,,,,,,
,,18,Huehuetlán ,Huasteca,,,,,,,,
,,19,Lagunillas,Media,,,,,,,,
,,20,Matehuala ,Altiplano,,,,,,,,
,,21,Mexquitic de Carmona ,Centro,,,,,,,,
,,22,Moctezuma ,Altiplano,,,,,,,,
,,23,Rayón ,Media,,,,,,,,
,,24,Rioverde ,Media,,,,,,,,
,,25,Salinas,Altiplano,,,,,,,,
,,26,San Antonio ,Huasteca,,,,,,,,
,,27,San Ciro de Acosta,Media,,,,,,,,
,,28,San Luis Potosí ,Centro,,,,,,,,
,,29,San Martín Chalchicuautla ,Huasteca,,,,,,,,
,,30,San Nicolás Tolentino ,Media,,,,,,,,
,,31,Santa Catarina ,Media,,,,,,,,
,,32, Santa María del Río ,Centro,,,,,,,,
,,33, Santo Domingo ,Altiplano,,,,,,,,
,,34,San Vicente de Tancuayalab  ,Huasteca,,,,,,,,
,,35,Soledad de Graciano Sánchez,Centro,,,,,,,,
,,36,Tamasopo ,Huasteca,,,,,,,,
,,37,Tamazunchale ,Huasteca,,,,,,,,
,,38,Tampacán,Huasteca,,,,,,,,
,,39,Tampamolón Corona ,Huasteca,,,,,,,,
,,40,Tamuín ,Huasteca,,,,,,,,
,,41,Tanlajás ,Huasteca,,,,,,,,
,,42,Tanquián de Escobedo ,Huasteca,,,,,,,,
,,43, Tierra Nueva,Centro,,,,,,,,
,,44,Vanegas ,Altiplano,,,,,,,,
,,45, Venado ,Altiplano,,,,,,,,
,,46,Villa de Arriaga ,Altiplano,,,,,,,,
,,47,Villa de Guadalupe ,Altiplano,,,,,,,,
,,48,Villa de la Paz ,Altiplano,,,,,,,,
,,49,Villa de Ramos ,Altiplano,,,,,,,,
,,50,Villa de Reyes ,Centro,,,,,,,,
,,51,Villa Hidalgo,Centro,,,,,,,,
,,52,Villa Juárez ,Media,,,,,,,,
,,53, Axtla de Terrazas ,Huasteca,,,,,,,,
,,54, Xilitla ,Huasteca,,,,,,,,
,,55, Zaragoza,Centro,,,,,,,,
,,56,Villa de Arista,Altiplano,,,,,,,,
,,57,Matlapa,Huasteca,,,,,,,,
,,58,El Naranjo,Huasteca,,,,,,,,
,,59,Villa de Pozos,Centro,,,,,,,,
